"Recency","frequency","monetary","recency_score","frequency_score","monetary_score","rfm_segment"
33,6,4541.72,4,2,5,"425"
10,3,1298.66,5,1,5,"515"
337,1,334.93,1,1,3,"113"
6,10,5417.93,5,3,5,"535"
39,1,460.4,4,1,3,"413"
64,2,263.21,2,1,3,"213"
166,2,433.74,1,1,3,"113"
16,7,1246.1,5,2,5,"525"
82,1,1043.1,1,1,5,"115"
22,3,403.7,4,1,3,"413"
24,11,4257.82,4,3,5,"435"
337,1,2169.39,1,1,5,"115"
96,5,3723.87,1,2,5,"125"
19,2,482.05,5,1,3,"513"
233,1,73.5,1,1,1,"111"
135,3,1304.81,1,1,5,"115"
27,2,398.27,4,1,3,"413"
285,1,176.5,1,1,2,"112"
143,2,982.57,1,1,4,"114"
67,2,138.03,2,1,2,"212"
113,1,612.29,1,1,4,"114"
268,1,1017.68,1,1,5,"115"
354,1,383.7,1,1,3,"113"
78,2,1312.06,2,1,5,"215"
29,5,2502.84,4,2,5,"425"
1,5,2056.89,5,2,5,"525"
64,1,340.84,2,1,3,"213"
80,5,2634.26,2,2,5,"225"
143,1,599.68,1,1,4,"114"
40,2,192.72,4,1,2,"412"
20,11,1789.77,5,3,5,"535"
10,8,4485.72,5,2,5,"525"
1,3,1316.66,5,1,5,"515"
82,3,348.71,1,1,3,"113"
10,6,1933.48,5,2,5,"525"
60,4,1662.28,3,1,5,"315"
15,1,125.22,5,1,2,"512"
31,1,349.83,4,1,3,"413"
131,1,1089.18,1,1,5,"115"
92,2,716.35,1,1,4,"114"
44,3,12601.83,3,1,5,"315"
30,1,363.95,4,1,3,"413"
23,4,5568.35,4,1,5,"415"
20,17,13400.24,5,4,5,"545"
30,3,981.18,4,1,4,"414"
37,1,372.7,4,1,3,"413"
76,2,1000.39,2,1,5,"215"
47,2,1161.5,3,1,5,"315"
198,2,207.8,1,1,2,"112"
167,1,95.2,1,1,1,"111"
80,1,964.83,2,1,4,"214"
358,1,168.0,1,1,2,"112"
39,2,437.82,4,1,3,"413"
9,10,3692.28,5,3,5,"535"
51,2,603.71,3,1,4,"314"
17,5,11990.96,5,2,5,"525"
8,1,269.96,5,1,3,"513"
311,2,561.71,1,1,4,"114"
6,3,2134.01,5,1,5,"515"
303,1,238.85,1,1,2,"112"
9,7,3781.74,5,2,5,"525"
262,1,456.9,1,1,3,"113"
289,1,145.92,1,1,2,"112"
87,1,351.65,1,1,3,"113"
23,10,9401.28,4,3,5,"435"
3,32,4124.69,5,5,5,"555"
40,2,519.61,4,1,4,"414"
9,2,1020.42,5,1,5,"515"
228,1,160.54,1,1,2,"112"
316,1,218.45,1,1,2,"112"
36,5,1315.83,4,2,5,"425"
36,3,657.8,4,1,4,"414"
22,2,2794.51,4,1,5,"415"
79,1,440.42,2,1,3,"213"
247,1,415.7,1,1,3,"113"
40,1,197.71,4,1,2,"412"
239,2,511.36,1,1,4,"114"
3,15,7281.38,5,4,5,"545"
4,9,2338.15,5,2,5,"525"
235,2,2040.1,1,1,5,"115"
18,1,196.94,5,1,2,"512"
8,1,144.0,5,1,2,"512"
40,1,214.9,4,1,2,"412"
29,2,646.68,4,1,4,"414"
212,2,9864.26,1,1,5,"115"
318,1,452.85,1,1,3,"113"
93,2,437.6,1,1,3,"113"
109,3,418.1,1,1,3,"113"
38,10,3338.22,4,3,5,"435"
52,2,618.27,3,1,4,"314"
20,4,3811.22,5,1,5,"515"
10,8,3023.08,5,2,5,"525"
30,7,1032.58,4,2,5,"425"
29,10,2599.04,4,3,5,"435"
190,5,577.06,1,2,4,"124"
59,1,153.12,3,1,2,"312"
22,1,739.2,4,1,4,"414"
80,2,254.18,2,1,3,"213"
61,1,1579.51,2,1,5,"215"
79,3,1126.85,2,1,5,"215"
23,5,2099.54,4,2,5,"425"
53,1,1193.32,3,1,5,"315"
75,1,704.04,2,1,4,"214"
58,5,3344.38,3,2,5,"325"
278,1,315.6,1,1,3,"113"
3,4,2291.19,5,1,5,"515"
96,2,713.3,1,1,4,"114"
30,1,355.53,4,1,3,"413"
22,1,177.31,4,1,2,"412"
17,9,3641.24,5,2,5,"525"
15,3,1339.41,5,1,5,"515"
2,20,13689.67,5,5,5,"555"
233,1,180.1,1,1,2,"112"
277,1,305.1,1,1,3,"113"
107,2,641.13,1,1,4,"114"
212,2,2683.82,1,1,5,"115"
24,9,6620.48,4,2,5,"425"
11,7,4478.53,5,2,5,"525"
5,3,786.46,5,1,4,"514"
10,2,1270.88,5,1,5,"515"
58,1,640.5,3,1,4,"314"
59,4,2163.98,3,1,5,"315"
90,2,1689.18,1,1,5,"115"
68,8,6021.9,2,2,5,"225"
34,1,671.69,4,1,4,"414"
239,1,486.1,1,1,3,"113"
24,3,1174.58,4,1,5,"415"
116,1,185.9,1,1,2,"112"
26,3,1013.26,4,1,5,"415"
129,6,3344.64,1,2,5,"125"
130,1,477.91,1,1,3,"113"
34,4,1775.18,4,1,5,"415"
5,2,1346.97,5,1,5,"515"
23,12,3722.82,4,3,5,"435"
155,1,318.05,1,1,3,"113"
108,3,623.51,1,1,4,"114"
4,1,314.44,5,1,3,"513"
335,1,114.0,1,1,2,"112"
332,1,919.98,1,1,4,"114"
149,2,2209.85,1,1,5,"115"
11,5,601.98,5,2,4,"524"
18,5,4051.17,5,2,5,"525"
12,4,1643.18,5,1,5,"515"
19,1,686.05,5,1,4,"514"
30,1,91.68,4,1,1,"411"
12,1,245.1,5,1,2,"512"
1,11,3849.78,5,3,5,"535"
9,9,4881.88,5,2,5,"525"
325,1,63.0,1,1,1,"111"
59,1,620.13,3,1,4,"314"
12,4,3807.15,5,1,5,"515"
151,3,2744.03,1,1,5,"115"
11,5,2996.05,5,2,5,"525"
330,1,225.9,1,1,2,"112"
6,2,610.52,5,1,4,"514"
39,4,1970.6,4,1,5,"415"
25,6,1331.39,4,2,5,"425"
43,12,17628.46,3,3,5,"335"
59,4,1113.02,3,1,5,"315"
1,4,862.81,5,1,4,"514"
15,22,13787.54,5,5,5,"555"
4,31,12288.22,5,5,5,"555"
5,15,8476.57,5,4,5,"545"
8,7,2283.63,5,2,5,"525"
29,6,2863.08,4,2,5,"425"
372,1,89.14,1,1,1,"111"
114,1,4873.81,1,1,5,"115"
26,2,1247.61,4,1,5,"415"
206,1,389.01,1,1,3,"113"
29,6,1035.8,4,2,5,"425"
128,4,855.91,1,1,4,"114"
71,2,869.67,2,1,4,"214"
8,4,582.1,5,1,4,"514"
29,3,957.59,4,1,4,"414"
8,4,4939.99,5,1,5,"515"
80,2,797.71,2,1,4,"214"
20,1,219.0,5,1,2,"512"
72,1,283.55,2,1,3,"213"
8,8,2340.84,5,2,5,"525"
16,9,6868.29,5,2,5,"525"
292,1,603.42,1,1,4,"114"
30,10,2712.91,4,3,5,"435"
16,15,9736.52,5,4,5,"545"
97,3,1149.02,1,1,5,"115"
29,13,4396.13,4,3,5,"435"
1,1,848.55,5,1,4,"514"
10,5,4708.86,5,2,5,"525"
107,1,353.86,1,1,3,"113"
4,2,1053.49,5,1,5,"515"
152,2,1030.98,1,1,5,"115"
72,1,238.25,2,1,2,"212"
6,2,644.95,5,1,4,"514"
3,25,5781.73,5,5,5,"555"
32,6,2656.13,4,2,5,"425"
86,4,997.63,1,1,4,"114"
4,5,725.07,5,2,4,"524"
6,4,1031.41,5,1,5,"515"
372,1,427.8,1,1,3,"113"
29,7,2609.1,4,2,5,"425"
11,7,3980.7,5,2,5,"525"
72,4,836.33,2,1,4,"214"
114,1,453.01,1,1,3,"113"
24,12,18895.91,4,3,5,"435"
180,1,236.26,1,1,2,"112"
235,1,383.95,1,1,3,"113"
353,1,110.4,1,1,2,"112"
316,2,779.57,1,1,4,"114"
333,1,234.0,1,1,2,"112"
373,1,155.35,1,1,2,"112"
79,2,1013.04,2,1,5,"215"
64,1,427.6,2,1,3,"213"
135,2,546.43,1,1,4,"114"
52,7,21279.29,3,2,5,"325"
3,11,4196.01,5,3,5,"535"
1,210,33719.73,5,5,5,"555"
4,5,4090.88,5,2,5,"525"
129,1,275.88,1,1,3,"113"
82,1,4366.78,1,1,5,"115"
23,6,21429.39,4,2,5,"425"
236,3,3010.74,1,1,5,"115"
281,2,3811.95,1,1,5,"115"
87,1,112.08,1,1,2,"112"
16,13,7857.1,5,3,5,"535"
117,2,2791.59,1,1,5,"115"
53,3,1531.44,3,1,5,"315"
8,2,1898.52,5,1,5,"515"
139,2,494.08,1,1,3,"113"
317,1,1693.88,1,1,5,"115"
4,7,6989.63,5,2,5,"525"
239,1,1143.6,1,1,5,"115"
211,1,1351.45,1,1,5,"115"
60,1,892.47,3,1,4,"314"
18,5,1386.04,5,2,5,"525"
20,6,822.23,5,2,4,"524"
38,8,3981.36,4,2,5,"425"
64,2,826.74,2,1,4,"214"
5,5,2330.92,5,2,5,"525"
3,6,2225.91,5,2,5,"525"
10,2,574.42,5,1,4,"514"
365,1,311.95,1,1,3,"113"
10,3,463.66,5,1,3,"513"
66,1,91.85,2,1,1,"211"
193,1,324.92,1,1,3,"113"
374,1,192.6,1,1,2,"112"
257,1,400.54,1,1,3,"113"
335,2,545.48,1,1,4,"114"
54,2,860.41,3,1,4,"314"
19,1,430.48,5,1,3,"513"
366,1,254.03,1,1,3,"113"
11,3,6977.04,5,1,5,"515"
187,1,427.58,1,1,3,"113"
37,3,483.65,4,1,3,"413"
178,1,489.31,1,1,3,"113"
261,3,514.85,1,1,4,"114"
45,1,229.64,3,1,2,"312"
102,1,125.92,1,1,2,"112"
148,2,1063.46,1,1,5,"115"
96,2,572.2,1,1,4,"114"
282,1,166.04,1,1,2,"112"
262,1,1542.08,1,1,5,"115"
4,4,942.34,5,1,4,"514"
215,1,92.72,1,1,1,"111"
71,2,948.88,2,1,4,"214"
75,5,1759.5,2,2,5,"225"
60,1,397.12,3,1,3,"313"
3,7,1474.72,5,2,5,"525"
6,3,430.15,5,1,3,"513"
3,6,1018.71,5,2,5,"525"
337,2,293.0,1,1,3,"113"
38,6,6814.64,4,2,5,"425"
263,1,215.05,1,1,2,"112"
33,2,383.03,4,1,3,"413"
146,1,417.38,1,1,3,"113"
283,1,312.38,1,1,3,"113"
60,4,2612.86,3,1,5,"315"
174,1,134.1,1,1,2,"112"
34,2,683.13,4,1,4,"414"
3,14,5591.42,5,3,5,"535"
144,4,2726.77,1,1,5,"115"
5,25,4022.35,5,5,5,"555"
71,2,1118.99,2,1,5,"215"
66,8,1702.26,2,2,5,"225"
30,2,325.96,4,1,3,"413"
268,4,354.09,1,1,3,"113"
23,1,871.54,4,1,4,"414"
32,2,1050.89,4,1,5,"415"
97,1,135.18,1,1,2,"112"
295,1,311.55,1,1,3,"113"
135,6,1957.1,1,2,5,"125"
79,3,1324.5,2,1,5,"215"
373,1,38.1,1,1,1,"111"
8,6,2179.93,5,2,5,"525"
211,2,1106.4,1,1,5,"115"
53,1,521.2,3,1,4,"314"
139,1,147.12,1,1,2,"112"
27,2,1568.23,4,1,5,"415"
284,1,559.12,1,1,4,"114"
27,7,4036.82,4,2,5,"425"
186,6,1607.06,1,2,5,"125"
85,2,380.64,1,1,3,"113"
327,2,599.97,1,1,4,"114"
283,1,374.0,1,1,3,"113"
144,2,343.23,1,1,3,"113"
58,2,2218.02,3,1,5,"315"
4,12,1535.77,5,3,5,"535"
237,2,854.99,1,1,4,"114"
45,3,573.22,3,1,4,"314"
276,1,298.0,1,1,3,"113"
10,2,1463.04,5,1,5,"515"
25,4,703.47,4,1,4,"414"
89,1,309.05,1,1,3,"113"
64,3,1175.22,2,1,5,"215"
68,2,1378.4,2,1,5,"215"
215,2,354.12,1,1,3,"113"
25,1,380.47,4,1,3,"413"
186,3,331.0,1,1,3,"113"
31,1,188.14,4,1,2,"412"
43,2,372.8,3,1,3,"313"
205,2,216.5,1,1,2,"112"
9,28,17654.54,5,5,5,"555"
265,1,138.68,1,1,2,"112"
19,2,509.58,5,1,4,"514"
12,5,2919.81,5,2,5,"525"
177,2,750.0,1,1,4,"114"
40,5,2178.67,4,2,5,"425"
24,8,3075.04,4,2,5,"425"
3,5,1662.3,5,2,5,"525"
5,5,2483.63,5,2,5,"525"
149,2,363.65,1,1,3,"113"
139,4,3006.15,1,1,5,"115"
129,1,594.0,1,1,4,"114"
9,6,1335.19,5,2,5,"525"
18,1,164.23,5,1,2,"512"
10,37,16587.09,5,5,5,"555"
162,1,405.38,1,1,3,"113"
65,1,176.97,2,1,2,"212"
89,4,933.7,1,1,4,"114"
5,2,694.05,5,1,4,"514"
36,5,2062.7,4,2,5,"425"
312,1,117.85,1,1,2,"112"
79,2,415.8,2,1,3,"213"
22,15,42055.96,4,4,5,"445"
25,3,607.53,4,1,4,"414"
3,7,2160.7,5,2,5,"525"
18,4,1063.9,5,1,5,"515"
16,4,1504.27,5,1,5,"515"
26,1,114.14,4,1,2,"412"
65,8,11581.8,2,2,5,"225"
55,2,913.54,3,1,4,"314"
132,3,683.9,1,1,4,"114"
36,2,604.51,4,1,4,"414"
289,1,462.95,1,1,3,"113"
144,6,1603.99,1,2,5,"125"
17,7,2064.95,5,2,5,"525"
31,8,4167.22,4,2,5,"425"
3,3,1843.0,5,1,5,"515"
9,6,1064.07,5,2,5,"525"
6,4,1387.79,5,1,5,"515"
10,1,329.85,5,1,3,"513"
2,11,4757.16,5,3,5,"535"
307,1,108.07,1,1,2,"112"
10,8,4017.54,5,2,5,"525"
8,2,266.39,5,1,3,"513"
9,8,1856.63,5,2,5,"525"
90,1,771.91,1,1,4,"114"
10,1,160.18,5,1,2,"512"
359,2,1660.9,1,1,5,"115"
113,1,135.95,1,1,2,"112"
8,4,452.24,5,1,3,"513"
4,86,11189.91,5,5,5,"555"
198,1,144.8,1,1,2,"112"
212,1,738.6,1,1,4,"114"
157,1,39.24,1,1,1,"111"
158,9,7374.9,1,2,5,"125"
30,2,372.22,4,1,3,"413"
243,1,390.54,1,1,3,"113"
19,1,97.5,5,1,1,"511"
1,2,1239.38,5,1,5,"515"
74,2,558.7,2,1,4,"214"
293,1,535.32,1,1,4,"114"
4,15,6924.11,5,4,5,"545"
32,3,409.5,4,1,3,"413"
24,2,503.76,4,1,4,"414"
24,4,414.76,4,1,3,"413"
5,3,974.42,5,1,4,"514"
86,1,211.32,1,1,2,"112"
23,4,1226.89,4,1,5,"415"
197,3,455.88,1,1,3,"113"
107,3,534.85,1,1,4,"114"
5,13,9818.82,5,3,5,"535"
319,1,120.95,1,1,2,"112"
106,3,149.05,1,1,2,"112"
12,18,5655.91,5,4,5,"545"
174,2,513.7,1,1,4,"114"
57,1,81.57,3,1,1,"311"
324,1,229.47,1,1,2,"112"
373,1,50.55,1,1,1,"111"
10,8,1661.84,5,2,5,"525"
2,13,4810.94,5,3,5,"535"
11,10,3466.28,5,3,5,"535"
54,5,3346.28,3,2,5,"325"
74,3,789.89,2,1,4,"214"
8,1,204.0,5,1,2,"512"
17,28,7277.7,5,5,5,"555"
5,9,2616.38,5,2,5,"525"
65,2,689.9,2,1,4,"214"
2,5,975.36,5,2,4,"524"
114,6,6912.0,1,2,5,"125"
23,2,661.32,4,1,4,"414"
31,3,1247.5,4,1,5,"415"
12,2,799.48,5,1,4,"514"
53,2,1010.18,3,1,5,"315"
358,1,190.55,1,1,2,"112"
55,2,642.77,3,1,4,"314"
74,2,921.88,2,1,4,"214"
139,3,881.07,1,1,4,"114"
81,3,908.46,1,1,4,"114"
9,2,676.99,5,1,4,"514"
274,1,516.42,1,1,4,"114"
292,1,560.47,1,1,4,"114"
100,1,305.28,1,1,3,"113"
31,2,629.31,4,1,4,"414"
32,10,3237.54,4,3,5,"435"
15,4,1835.91,5,1,5,"515"
65,2,656.68,2,1,4,"214"
15,17,5836.86,5,4,5,"545"
213,1,348.15,1,1,3,"113"
79,3,1214.41,2,1,5,"215"
25,3,271.4,4,1,3,"413"
250,1,183.4,1,1,2,"112"
254,1,307.53,1,1,3,"113"
73,1,248.61,2,1,2,"212"
192,1,346.98,1,1,3,"113"
13,4,1119.49,5,1,5,"515"
374,1,205.86,1,1,2,"112"
25,2,470.8,4,1,3,"413"
83,1,115.46,1,1,2,"112"
11,2,344.0,5,1,3,"513"
1,24,4436.12,5,5,5,"555"
193,1,228.8,1,1,2,"112"
267,1,177.15,1,1,2,"112"
130,1,919.61,1,1,4,"114"
2,4,729.27,5,1,4,"514"
4,26,12627.94,5,5,5,"555"
5,5,220.1,5,2,2,"522"
180,1,58.08,1,1,1,"111"
12,11,28337.38,5,3,5,"535"
127,9,3613.63,1,2,5,"125"
5,2,303.75,5,1,3,"513"
158,2,416.08,1,1,3,"113"
3,97,58825.83,5,5,5,"555"
9,14,8910.82,5,3,5,"535"
29,1,345.82,4,1,3,"413"
71,5,477.83,2,2,3,"223"
276,8,7832.47,1,2,5,"125"
22,12,1927.32,4,3,5,"435"
71,1,74.4,2,1,1,"211"
33,10,6010.42,4,3,5,"435"
2,28,28882.44,5,5,5,"555"
100,1,207.36,1,1,2,"112"
235,1,101.19,1,1,2,"112"
2,24,6424.09,5,5,5,"555"
40,1,243.94,4,1,2,"412"
4,6,1098.48,5,2,5,"525"
134,1,76.5,1,1,1,"111"
45,4,1531.62,3,1,5,"315"
373,1,350.06,1,1,3,"113"
60,2,786.54,3,1,4,"314"
32,7,1488.67,4,2,5,"425"
1,24,12245.96,5,5,5,"555"
12,4,2294.78,5,1,5,"515"
139,1,501.14,1,1,4,"114"
22,8,984.91,4,2,4,"424"
20,5,1197.81,5,2,5,"525"
239,1,30.6,1,1,1,"111"
270,1,283.73,1,1,3,"113"
95,2,922.39,1,1,4,"114"
90,3,3866.33,1,1,5,"115"
5,8,2099.64,5,2,5,"525"
78,1,259.17,2,1,3,"213"
95,1,64.0,1,1,1,"111"
24,3,1073.3,4,1,5,"415"
262,1,77.3,1,1,1,"111"
274,2,109.8,1,1,2,"112"
86,4,1793.58,1,1,5,"115"
197,1,3096.0,1,1,5,"115"
57,5,2607.61,3,2,5,"325"
11,8,3650.41,5,2,5,"525"
23,6,962.39,4,2,4,"424"
17,7,5064.94,5,2,5,"525"
109,3,423.72,1,1,3,"113"
85,5,2388.75,1,2,5,"125"
20,1,307.09,5,1,3,"513"
333,1,110.95,1,1,2,"112"
40,4,618.52,4,1,4,"414"
27,1,228.91,4,1,2,"412"
11,4,712.8,5,1,4,"514"
30,12,3707.12,4,3,5,"435"
15,4,1676.06,5,1,5,"515"
296,1,1257.87,1,1,5,"115"
6,1,486.22,5,1,3,"513"
34,4,971.76,4,1,4,"414"
50,4,1741.22,3,1,5,"315"
95,4,1201.06,1,1,5,"115"
9,4,1437.85,5,1,5,"515"
23,1,91.8,4,1,1,"411"
314,1,112.75,1,1,2,"112"
123,4,1688.29,1,1,5,"115"
47,2,1021.48,3,1,5,"315"
284,1,417.2,1,1,3,"113"
19,4,791.33,5,1,4,"514"
37,4,1319.19,4,1,5,"415"
64,2,712.88,2,1,4,"214"
27,1,116.01,4,1,2,"412"
22,3,468.41,4,1,3,"413"
5,2,353.65,5,1,3,"513"
17,3,2817.03,5,1,5,"515"
47,1,492.84,3,1,3,"313"
65,1,282.45,2,1,3,"213"
27,11,5725.47,4,3,5,"435"
46,1,121.18,3,1,2,"312"
8,9,3957.78,5,2,5,"525"
15,10,1701.29,5,3,5,"535"
268,1,71.4,1,1,1,"111"
40,3,1575.89,4,1,5,"415"
338,1,236.02,1,1,2,"112"
12,1,114.6,5,1,2,"512"
19,2,260.68,5,1,3,"513"
96,2,911.94,1,1,4,"114"
62,1,117.88,2,1,2,"212"
136,1,60.7,1,1,1,"111"
12,4,1797.78,5,1,5,"515"
11,6,3401.24,5,2,5,"525"
4,38,9817.12,5,5,5,"555"
20,4,870.09,5,1,4,"514"
10,4,869.46,5,1,4,"514"
16,2,250.26,5,1,3,"513"
59,6,1223.9,3,2,5,"325"
31,8,5891.61,4,2,5,"425"
94,1,353.48,1,1,3,"113"
11,3,1197.42,5,1,5,"515"
20,3,788.08,5,1,4,"514"
57,5,1520.58,3,2,5,"325"
268,1,333.74,1,1,3,"113"
123,3,533.98,1,1,4,"114"
128,1,62.64,1,1,1,"111"
79,4,819.29,2,1,4,"214"
241,2,847.41,1,1,4,"114"
201,2,163.2,1,1,2,"112"
61,2,2155.95,2,1,5,"215"
4,7,6463.84,5,2,5,"525"
274,1,108.21,1,1,2,"112"
202,1,257.7,1,1,3,"113"
82,1,358.0,1,1,3,"113"
226,1,160.95,1,1,2,"112"
5,14,2806.97,5,3,5,"535"
13,7,1357.6,5,2,5,"525"
75,2,605.12,2,1,4,"214"
213,1,1031.07,1,1,5,"115"
25,2,744.85,4,1,4,"414"
18,4,700.73,5,1,4,"514"
262,1,329.56,1,1,3,"113"
97,4,663.65,1,1,4,"114"
113,3,270.4,1,1,3,"113"
204,1,600.07,1,1,4,"114"
93,1,121.74,1,1,2,"112"
51,1,430.5,3,1,3,"313"
19,6,1987.3,5,2,5,"525"
18,4,501.12,5,1,4,"514"
125,2,465.68,1,1,3,"113"
93,3,711.41,1,1,4,"114"
157,2,1030.4,1,1,5,"115"
10,2,399.51,5,1,3,"513"
15,1,0.0,5,1,1,"511"
12,3,698.58,5,1,4,"514"
62,1,292.32,2,1,3,"213"
62,1,557.62,2,1,4,"214"
269,2,944.1,1,1,4,"114"
264,1,200.29,1,1,2,"112"
2,35,7454.07,5,5,5,"555"
54,5,2107.66,3,2,5,"325"
12,12,3834.26,5,3,5,"535"
3,19,4521.49,5,4,5,"545"
18,11,3214.69,5,3,5,"535"
2,15,5346.23,5,4,5,"545"
367,1,590.0,1,1,4,"114"
38,1,217.38,4,1,2,"412"
32,2,276.56,4,1,3,"413"
114,1,138.98,1,1,2,"112"
64,2,590.93,2,1,4,"214"
16,4,258.4,5,1,3,"513"
41,1,542.73,3,1,4,"314"
79,1,137.75,2,1,2,"212"
123,3,814.86,1,1,4,"114"
19,3,1132.14,5,1,5,"515"
60,2,93.66,3,1,1,"311"
331,1,201.19,1,1,2,"112"
24,4,2709.12,4,1,5,"415"
156,1,361.11,1,1,3,"113"
39,2,578.94,4,1,4,"414"
190,2,873.74,1,1,4,"114"
360,1,201.2,1,1,2,"112"
138,1,87.4,1,1,1,"111"
8,4,2089.85,5,1,5,"515"
2,1,360.0,5,1,3,"513"
269,1,142.5,1,1,2,"112"
170,1,371.89,1,1,3,"113"
104,4,618.09,1,1,4,"114"
156,1,63.75,1,1,1,"111"
352,1,300.42,1,1,3,"113"
5,10,2000.86,5,3,5,"535"
121,1,15.0,1,1,1,"111"
23,3,1385.51,4,1,5,"415"
8,5,1456.79,5,2,5,"525"
29,3,1132.03,4,1,5,"415"
5,2,598.57,5,1,4,"514"
23,5,1555.32,4,2,5,"425"
2,3,775.94,5,1,4,"514"
38,4,5977.73,4,1,5,"415"
67,6,2273.68,2,2,5,"225"
2,3,640.76,5,1,4,"514"
6,26,10845.55,5,5,5,"555"
79,4,1548.7,2,1,5,"215"
73,2,567.36,2,1,4,"214"
18,1,199.48,5,1,2,"512"
4,5,787.85,5,2,4,"524"
37,10,7121.95,4,3,5,"435"
82,1,675.3,1,1,4,"114"
39,8,3627.77,4,2,5,"425"
317,1,1308.48,1,1,5,"115"
32,2,789.0,4,1,4,"414"
93,3,1140.93,1,1,5,"115"
15,1,350.9,5,1,3,"513"
83,3,3536.82,1,1,5,"115"
78,1,795.12,2,1,4,"214"
158,1,487.02,1,1,3,"113"
201,1,860.12,1,1,4,"114"
46,7,10736.48,3,2,5,"325"
261,1,775.85,1,1,4,"114"
178,1,353.43,1,1,3,"113"
68,3,2543.72,2,1,5,"215"
288,1,389.5,1,1,3,"113"
